service_request_id,date_received,ward,service_type,status,response_days
SR-102086,2023-03-05,6,Pothole,In Progress,5
SR-100145,2023-07-26,1,Streetlight Out,Open,17
SR-102020,2023-11-15,6,Trash Collection,closed,8
SR-100221,2023-02-10,2,Trash Collection,Resolved,2
SR-100029,2023-04-04,1,Illegal Dumping,Resolved,1
SR-101754,2023-04-08,5,Pothole,Closed,13
SR-102247,2023-03-21,6,Streetlight Out,closed,20
SR-101528,2023-04-25,5,Rodent Inspection,Resolved,14
SR-101555,2023-10-19,5,Illegal Dumping,In Progress,13
SR-102898,2023-07-01,7,Noise Complaint,Open,29
SR-102098,2023-02-20,6,Noise Complaint,closed,2
SR-100498,2023-06-21,3,Trash Collection,Resolved,4
SR-100574,2023-11-09,3,Noise Complaint,Open,6
SR-103350,2023-07-18,8,Pothole,Resolved,17
SR-103396,2023-03-04,8,Illegal Dumping,Resolved,15
SR-103409,2023-08-18,8,Streetlight Out,Resolved,21
SR-100901,2023-05-08,4,Illegal Dumping,Closed,22
SR-101456,2023-08-17,5,Streetlight Out,Open,15
SR-100666,2023-10-11,3,Streetlight Out,closed,11
SR-100464,,2,POTHOLE,Open,10
SR-100083,2023-10-22,1,Trash Collection,Open,22
SR-100033,2023-04-22,1,pothole,closed,20
SR-100910,2023-12-26,4,Streetlight Out,closed,29
SR-100243,2023-10-22,2,Pothole,Resolved,3
SR-103056,2023-02-14,7,pothole,closed,19
SR-100576,2023-08-04,3,Trash Collection,Resolved,13
SR-102997,2023-03-07,7,Noise Complaint,Resolved,4
SR-102740,2023-12-28,7,Streetlight Out,Closed,27
SR-100560,2023-12-05,3,POTHOLE,Resolved,11
SR-102655,2023-03-24,7,pothole,Resolved,7
SR-100214,2023-09-12,2,Trash Collection,Closed,5
SR-102057,2023-04-06,6,Trash Collection,Closed,16
SR-102153,2023-01-10,,Noise Complaint,Closed,24
SR-101992,2023-09-07,6,Trash Collection,In Progress,30
SR-102132,2023-03-16,6,Rodent Inspection,closed,24
SR-102425,2023-09-15,7,Illegal Dumping,Resolved,18
SR-102807,2023-03-14,7,POTHOLE,Open,679
SR-100627,2023-06-15,3,Noise Complaint,Open,13
SR-102790,2023-12-18,7,POTHOLE,closed,28
SR-100858,2023-06-12,3,Noise Complaint,Open,14
SR-101322,2023-06-28,5,Noise Complaint,In Progress,20
SR-102060,2023-02-22,6,pothole,Resolved,6
SR-102300,2023-12-12,6,Streetlight Out,Closed,11
SR-100229,2023-11-25,2,Streetlight Out,Resolved,30
SR-102541,2023-02-14,7,pothole,Closed,9
SR-100764,,3,POTHOLE,Resolved,24
SR-102395,2023-04-08,6,Streetlight Out,Closed,355
SR-101039,2023-10-12,4,Noise Complaint,Resolved,28
SR-101214,2023-01-02,4,Noise Complaint,closed,27
SR-101829,2023-03-20,6,Illegal Dumping,Open,19
SR-100875,2023-07-04,3,Trash Collection,closed,17
SR-101038,2023-05-25,4,Illegal Dumping,closed,6
SR-101336,2023-08-22,5,Trash Collection,Closed,18
SR-100404,2023-06-21,2,Illegal Dumping,Closed,22
SR-101257,0000-00-00,4,Noise Complaint,Resolved,14
SR-102139,2023-11-28,6,Noise Complaint,Open,8
SR-103033,2023-02-07,7,Trash Collection,Open,18
SR-100085,2023-02-09,1,Rodent Inspection,In Progress,15
SR-100622,2023-09-08,,pothole,In Progress,25
SR-101400,2023-05-28,5,Streetlight Out,Resolved,29
SR-102131,2023-04-16,6,POTHOLE,Closed,8
SR-102625,2023-03-05,7,Streetlight Out,Resolved,23
SR-101222,2023-06-24,4,pothole,Closed,12
SR-101289,2023-10-20,5,Streetlight Out,Closed,20
SR-101146,2023-01-08,4,Noise Complaint,Closed,21
SR-101672,2023-05-13,5,POTHOLE,In Progress,25
SR-101003,2023-06-23,4,Streetlight Out,Resolved,24
SR-101922,2023-09-04,6,Trash Collection,Closed,7
SR-100282,2023-08-02,2,POTHOLE,Open,3
SR-100494,2023-12-23,3,Illegal Dumping,Open,27
SR-103354,2023-03-21,8,Pothole,Closed,27
SR-101216,2023-04-09,4,Trash Collection,In Progress,10
SR-102608,2023-08-10,7,Noise Complaint,Open,25
SR-102291,0000-00-00,6,Streetlight Out,closed,19
SR-100796,2023-01-16,3,Noise Complaint,closed,25
SR-100804,2023-01-27,3,Trash Collection,Closed,8
SR-102886,2023-12-25,7,Streetlight Out,Open,12
SR-100125,2023-01-06,1,Streetlight Out,Open,26
SR-102355,2023-02-08,6,Streetlight Out,Closed,5
SR-101303,2023-01-01,5,Noise Complaint,In Progress,26
SR-100232,2023-10-05,2,Illegal Dumping,In Progress,13
SR-100454,2023-06-19,2,Trash Collection,Open,20
SR-102326,2023-10-21,6,Pothole,Resolved,13
SR-101919,2023-03-20,6,Streetlight Out,Open,22
SR-101012,2023-02-13,4,Rodent Inspection,closed,27
SR-101366,2023-03-03,5,Streetlight Out,closed,26
SR-101798,2023-08-20,6,pothole,In Progress,16
SR-100960,2023-03-05,4,Noise Complaint,Resolved,12
SR-102827,2023-10-01,7,Trash Collection,closed,24
SR-103111,,7,Streetlight Out,Resolved,2
SR-100184,2023-02-06,2,pothole,closed,4
SR-100625,2023-01-14,3,Streetlight Out,Resolved,16
SR-102262,2023-11-03,6,Illegal Dumping,closed,8
SR-100272,2023-03-07,2,Noise Complaint,Open,23
SR-103390,2023-12-03,8,POTHOLE,In Progress,11
SR-100832,2023-06-26,3,Pothole,In Progress,19
SR-102418,2023-12-26,7,Noise Complaint,closed,26
SR-100114,2023-08-16,1,Illegal Dumping,closed,4
SR-102453,2023-09-25,7,Trash Collection,In Progress,16
SR-103157,2023-06-04,8,POTHOLE,In Progress,21
SR-102146,2023-01-24,6,pothole,Resolved,28
SR-102817,2023-05-12,,Trash Collection,closed,20
SR-100742,2023-03-18,3,pothole,closed,13
SR-102067,2023-02-08,6,Trash Collection,In Progress,24
SR-102733,2023-06-07,7,Streetlight Out,In Progress,17
SR-103138,2023-07-02,8,Noise Complaint,Resolved,12
SR-102407,2023-04-18,7,Streetlight Out,closed,14
SR-100466,2023-11-27,2,Illegal Dumping,Closed,24
SR-103239,2023-07-09,8,Pothole,In Progress,7
SR-102431,2023-12-20,7,Rodent Inspection,In Progress,10
SR-101477,0000-00-00,5,Trash Collection,Resolved,9
SR-102605,2023-04-13,7,Noise Complaint,Closed,10
SR-101965,2023-11-16,6,Noise Complaint,Closed,7
SR-100786,2023-06-26,3,Rodent Inspection,closed,17
SR-102445,2023-08-16,7,Pothole,Closed,8
SR-100753,2023-06-08,3,Trash Collection,In Progress,26
SR-101361,2023-10-08,5,Noise Complaint,Closed,6
SR-102855,2023-08-05,7,Rodent Inspection,Resolved,8
SR-102226,2023-12-01,6,Noise Complaint,Resolved,13
SR-100016,2023-11-26,1,POTHOLE,Open,3
SR-102553,2023-11-06,7,Streetlight Out,closed,15
SR-103419,2023-11-25,8,pothole,Resolved,7
SR-102950,2023-03-07,7,Illegal Dumping,Closed,4
SR-102222,2023-12-02,6,Illegal Dumping,In Progress,29
SR-100271,2023-08-12,2,Noise Complaint,Closed,3
SR-102480,2023-12-26,7,Noise Complaint,In Progress,3
SR-103078,2023-07-08,7,Streetlight Out,Closed,20
SR-102207,2023-08-06,6,Illegal Dumping,closed,27
SR-103327,2023-06-10,8,Rodent Inspection,Resolved,29
SR-101823,2023-04-24,6,Pothole,Open,1
SR-102315,2023-11-26,6,Pothole,closed,20
SR-102925,2023-01-28,7,pothole,closed,24
SR-103144,2023-10-12,8,Trash Collection,Resolved,18
SR-102245,2023-11-06,6,Noise Complaint,Closed,3
SR-100265,2023-02-15,2,Noise Complaint,Closed,6
SR-100561,2023-08-17,3,Streetlight Out,Resolved,5
SR-102178,2023-04-16,6,Illegal Dumping,closed,29
SR-103069,2023-11-16,7,Streetlight Out,closed,15
SR-101393,2023-01-21,5,Illegal Dumping,Closed,560
SR-102165,2023-03-09,6,Noise Complaint,Open,11
SR-102900,2023-05-07,7,Noise Complaint,Closed,5
SR-102727,2023-09-13,7,Pothole,Closed,7
SR-103108,2023-10-09,7,Noise Complaint,Resolved,384
SR-102027,2023-09-08,6,Streetlight Out,Open,408
SR-102995,2023-05-20,7,Pothole,Resolved,24
SR-101793,2023-12-08,6,POTHOLE,In Progress,30
SR-102866,2023-11-25,7,Pothole,Open,25
SR-100131,2023-06-18,1,Noise Complaint,Resolved,13
SR-102839,2023-02-23,7,Streetlight Out,Closed,25
SR-100522,2023-01-19,,Illegal Dumping,Open,11
SR-100409,2023-07-01,2,Rodent Inspection,In Progress,27
SR-102778,2023-10-10,7,pothole,Closed,6
SR-100153,2023-01-26,1,Streetlight Out,Open,11
SR-102006,2023-11-21,6,Trash Collection,Resolved,3
SR-101092,2023-06-27,4,Rodent Inspection,closed,23
SR-100459,0000-00-00,2,POTHOLE,In Progress,5
SR-100021,2023-11-18,1,Rodent Inspection,closed,3
SR-102033,2023-02-27,6,Streetlight Out,closed,6
SR-100477,2023-11-27,2,Streetlight Out,In Progress,10
SR-103251,2023-01-04,8,Pothole,Open,1
SR-103408,2023-06-01,8,Illegal Dumping,Resolved,18
SR-101991,2023-08-22,6,Illegal Dumping,Resolved,16
SR-100827,N/A,3,Pothole,Closed,19
SR-100245,2023-10-06,2,Streetlight Out,In Progress,5
SR-101913,2023-08-22,6,Noise Complaint,Open,17
SR-103034,2023-11-02,7,Illegal Dumping,Resolved,4
SR-100685,2023-11-27,3,pothole,In Progress,29
SR-102648,2023-01-25,7,Noise Complaint,closed,30
SR-100585,2023-06-14,3,Illegal Dumping,Open,18
SR-100208,2023-11-07,,POTHOLE,Resolved,15
SR-101359,2023-04-23,5,Pothole,closed,10
SR-101052,2023-05-05,4,Pothole,Closed,24
SR-100928,2023-08-16,4,Streetlight Out,In Progress,21
SR-101239,2023-04-01,4,POTHOLE,Closed,1
SR-100236,2023-01-24,2,pothole,Closed,12
SR-102663,2023-09-28,7,Noise Complaint,Open,12
SR-100461,2023-04-10,2,Streetlight Out,closed,12
SR-101072,2023-01-22,4,Noise Complaint,In Progress,5
SR-102459,0000-00-00,7,Trash Collection,Closed,5
SR-102732,2023-11-20,7,Pothole,In Progress,13
SR-101497,2023-04-19,5,Noise Complaint,closed,9
SR-101690,2023-07-04,5,Rodent Inspection,Resolved,26
SR-103303,2023-03-18,8,Pothole,Resolved,14
SR-101567,2023-01-28,5,Noise Complaint,Closed,12
SR-102478,2023-09-04,7,Illegal Dumping,closed,4
SR-101274,2023-05-21,,POTHOLE,In Progress,23
SR-100609,2023-05-09,3,POTHOLE,closed,22
SR-101505,2023-03-22,5,Trash Collection,closed,447
SR-102566,,7,Illegal Dumping,closed,629
SR-102048,2023-05-22,6,pothole,In Progress,11
SR-100581,2023-11-01,3,Streetlight Out,closed,18
SR-101080,2023-12-10,4,Noise Complaint,In Progress,19
SR-102263,2023-03-20,6,Illegal Dumping,Closed,18
SR-101475,2023-01-12,5,pothole,closed,675
SR-100039,2023-08-23,1,pothole,closed,17
SR-100411,2023-02-27,2,Trash Collection,closed,9
SR-102550,0000-00-00,7,Streetlight Out,Resolved,16
SR-102350,2023-02-06,6,pothole,In Progress,25
SR-102947,2023-12-06,7,Illegal Dumping,In Progress,27
SR-101723,2023-11-27,5,Pothole,Open,4
SR-100322,2023-01-27,2,pothole,Closed,3
SR-103135,2023-12-28,8,Trash Collection,In Progress,18
SR-103399,2023-05-17,8,Pothole,Open,2
SR-101085,2023-08-21,4,Pothole,Open,30
SR-101034,2023-03-20,4,pothole,closed,12
SR-101668,2023-03-26,,Illegal Dumping,In Progress,12
SR-101032,2023-06-02,4,Rodent Inspection,Open,19
SR-103049,2023-09-02,,Streetlight Out,Resolved,28
SR-102371,2023-09-14,6,Noise Complaint,closed,23
SR-101292,2023-01-03,5,Streetlight Out,closed,30
SR-103340,2023-01-06,8,Trash Collection,Closed,10
SR-101190,2023-01-01,4,Noise Complaint,Open,10
SR-103202,2023-06-13,8,Trash Collection,In Progress,17
SR-103154,2023-05-25,8,Trash Collection,Closed,18
SR-100502,2023-08-20,3,Illegal Dumping,Open,19
SR-100565,2023-02-26,3,Illegal Dumping,Closed,5
SR-100821,2023-09-21,3,Illegal Dumping,closed,24
SR-102513,2023-07-22,7,Illegal Dumping,Open,11
SR-100670,2023-04-14,3,Illegal Dumping,In Progress,22
SR-100613,2023-12-25,3,Illegal Dumping,Resolved,11
SR-101037,2023-12-03,4,Rodent Inspection,Resolved,24
SR-100935,2023-11-09,4,Streetlight Out,In Progress,360
SR-103016,2023-05-28,7,Noise Complaint,closed,11
SR-100306,2023-11-24,2,Pothole,Open,428
SR-102064,2023-08-26,6,Illegal Dumping,Closed,21
SR-102917,2023-01-05,7,Streetlight Out,Open,29
SR-100549,2023-08-26,3,POTHOLE,Open,9
SR-102043,2023-11-02,6,Noise Complaint,closed,24
SR-101794,2023-09-09,6,POTHOLE,closed,606
SR-101795,2023-03-23,6,Streetlight Out,Open,6
SR-101202,2023-05-20,4,Trash Collection,closed,5
SR-102982,2023-09-25,7,Trash Collection,closed,2
SR-103217,2023-05-15,8,Trash Collection,Closed,4
SR-102543,2023-02-17,7,Illegal Dumping,Closed,3
SR-102036,2023-05-23,6,Trash Collection,Closed,4
SR-101276,2023-08-16,5,Streetlight Out,Closed,22
SR-100899,2023-07-10,3,Streetlight Out,Resolved,29
SR-100940,N/A,4,POTHOLE,closed,26
SR-103337,2023-12-18,8,Streetlight Out,closed,14
SR-100835,2023-08-26,3,POTHOLE,In Progress,2
SR-100169,2023-05-20,1,Illegal Dumping,Closed,784
SR-100986,2023-02-16,4,Noise Complaint,Closed,26
SR-103105,2023-12-11,7,Illegal Dumping,In Progress,27
SR-101396,2023-12-14,5,Rodent Inspection,closed,25
SR-101438,2023-10-19,5,Streetlight Out,Open,23
SR-102045,2023-02-22,6,Illegal Dumping,Closed,6
SR-100955,2023-01-25,4,Rodent Inspection,closed,22
SR-100776,2023-03-08,3,Rodent Inspection,closed,3
SR-103028,2023-06-01,,Trash Collection,In Progress,13
SR-101706,2023-04-24,5,Streetlight Out,Resolved,23
SR-100513,2023-12-24,3,Noise Complaint,In Progress,7
SR-100990,2023-12-13,4,Trash Collection,Resolved,26
SR-101218,N/A,4,pothole,In Progress,3
SR-101693,2023-06-14,5,Illegal Dumping,Open,12
SR-100778,2023-07-13,3,pothole,In Progress,26
SR-100114,2023-08-16,1,Illegal Dumping,closed,4
SR-102099,2023-02-05,6,Trash Collection,Closed,13
SR-100056,2023-09-08,1,Noise Complaint,closed,17
SR-100003,2023-11-11,1,Trash Collection,closed,18
SR-102114,2023-09-07,6,Noise Complaint,Closed,5
SR-100405,2023-10-21,2,Pothole,In Progress,1
SR-100159,2023-02-23,1,Illegal Dumping,Resolved,21
SR-102843,2023-10-28,7,pothole,Closed,20
SR-101975,2023-12-24,6,Noise Complaint,Open,470
SR-100564,2023-11-08,3,POTHOLE,Resolved,22
SR-102539,2023-03-15,7,Trash Collection,Resolved,27
SR-102136,2023-12-18,6,POTHOLE,Closed,1
SR-102123,2023-06-11,6,Noise Complaint,closed,5
SR-101439,2023-04-13,5,Rodent Inspection,Resolved,4
SR-103119,N/A,7,pothole,Open,25
SR-100518,2023-07-24,3,pothole,Resolved,29
SR-100692,2023-05-16,3,Noise Complaint,Closed,11
SR-101820,2023-01-04,6,Noise Complaint,In Progress,27
SR-100762,2023-06-10,3,Illegal Dumping,Open,23
SR-100957,2023-08-11,4,Noise Complaint,Closed,25
SR-103333,2023-08-02,8,POTHOLE,Closed,29
SR-102532,2023-10-08,7,Trash Collection,Resolved,20
SR-100412,2023-07-14,2,Streetlight Out,Closed,19
SR-101665,2023-01-11,5,Noise Complaint,closed,16
SR-102564,2023-03-05,7,Pothole,Closed,9
SR-103266,2023-09-06,8,Trash Collection,Open,21
SR-102221,2023-07-04,6,Streetlight Out,closed,11
SR-100871,2023-02-11,3,Noise Complaint,In Progress,28
SR-101875,2023-08-25,6,Trash Collection,Open,573
SR-103257,2023-11-19,8,Trash Collection,Resolved,12
SR-102694,2023-01-12,7,Rodent Inspection,In Progress,29
SR-101865,2023-05-18,6,Noise Complaint,closed,20
SR-100227,2023-04-09,2,Illegal Dumping,Closed,26
SR-100504,2023-10-21,3,Noise Complaint,Closed,5
SR-103322,2023-01-22,8,Trash Collection,closed,27
SR-103071,2023-04-08,7,POTHOLE,Open,20
SR-102470,2023-11-18,7,Streetlight Out,closed,4
SR-101484,2023-04-07,5,Illegal Dumping,Resolved,19
SR-101150,2023-03-20,4,POTHOLE,closed,19
SR-102304,2023-07-10,6,Illegal Dumping,In Progress,12
SR-101247,2023-12-18,4,Illegal Dumping,In Progress,24
SR-102690,2023-04-11,7,Illegal Dumping,Closed,1
SR-101582,2023-12-23,5,Illegal Dumping,In Progress,1
SR-100993,2023-03-24,4,POTHOLE,Open,17
SR-101089,2023-11-10,4,Illegal Dumping,In Progress,8
SR-101337,2023-12-11,5,Pothole,Closed,21
SR-102097,2023-04-23,6,Noise Complaint,In Progress,27
SR-101984,2023-12-28,6,POTHOLE,Resolved,20
SR-101178,2023-08-02,4,Streetlight Out,Closed,23
SR-102896,2023-06-08,7,Noise Complaint,Closed,19
SR-103295,2023-03-14,8,pothole,Resolved,23
SR-103059,2023-08-23,7,POTHOLE,closed,14
SR-101742,2023-08-23,5,Rodent Inspection,Open,25
SR-101896,2023-06-20,6,Streetlight Out,Closed,30
SR-101958,2023-01-07,,Illegal Dumping,Resolved,9
SR-103036,2023-09-20,7,Rodent Inspection,closed,9
SR-100920,2023-06-02,4,Pothole,Closed,24
SR-100144,2023-08-09,1,Rodent Inspection,Closed,25
SR-100732,2023-12-27,3,Rodent Inspection,closed,1
SR-100913,2023-02-10,4,Rodent Inspection,closed,22
SR-101692,2023-02-08,5,Trash Collection,Resolved,18
SR-100746,2023-09-04,3,Pothole,In Progress,26
SR-102270,2023-03-14,6,Trash Collection,Closed,7
SR-101141,2023-06-27,4,Noise Complaint,In Progress,17
SR-102572,,,Noise Complaint,Open,12
SR-102880,2023-04-19,7,Illegal Dumping,Open,26
SR-100572,2023-02-25,3,Streetlight Out,Closed,21
SR-100951,2023-02-21,4,Noise Complaint,In Progress,2
SR-103027,2023-06-09,7,Illegal Dumping,Closed,6
SR-101784,2023-10-19,6,Streetlight Out,Resolved,523
SR-102216,2023-04-06,6,Trash Collection,Resolved,23
SR-102211,2023-08-24,6,Streetlight Out,Open,29
SR-100060,2023-03-13,1,POTHOLE,Open,24
SR-103184,2023-08-27,8,Noise Complaint,Closed,6
SR-100959,2023-10-13,4,Rodent Inspection,closed,6
SR-101364,2023-09-12,5,Illegal Dumping,Closed,6
SR-103020,2023-10-12,7,Noise Complaint,Resolved,28
SR-100444,2023-08-07,2,Illegal Dumping,closed,310
SR-100334,2023-08-01,2,Illegal Dumping,Resolved,25
SR-102839,2023-02-23,7,Streetlight Out,Closed,25
SR-101462,2023-04-27,5,Noise Complaint,Resolved,26
SR-102629,2023-11-09,7,Illegal Dumping,In Progress,1
SR-101211,2023-12-10,4,Illegal Dumping,In Progress,27
SR-103107,2023-08-04,7,Trash Collection,closed,28
SR-100864,2023-06-13,3,Trash Collection,Resolved,709
SR-102142,N/A,6,Noise Complaint,Open,25
SR-101297,2023-08-17,5,Illegal Dumping,In Progress,9
SR-100413,2023-02-11,2,Rodent Inspection,Closed,18
SR-101513,2023-05-24,5,Trash Collection,closed,26
SR-100819,2023-11-22,3,POTHOLE,Closed,25
SR-102614,2023-12-21,7,Rodent Inspection,Resolved,24
SR-100067,2023-02-01,1,Illegal Dumping,Open,7
SR-101643,2023-01-19,5,POTHOLE,Resolved,8
SR-101744,2023-12-24,5,Rodent Inspection,Open,22
SR-101064,2023-10-09,4,Trash Collection,Closed,12
SR-101163,2023-01-19,4,Trash Collection,Resolved,3
SR-101282,2023-12-06,5,Illegal Dumping,Closed,4
SR-100628,2023-08-28,,Streetlight Out,closed,22
SR-102927,2023-07-14,,Streetlight Out,Closed,21
SR-101527,2023-01-27,5,Pothole,Open,22
SR-102011,2023-09-13,,Noise Complaint,In Progress,483
SR-100238,2023-01-03,2,Illegal Dumping,closed,24
SR-100493,,3,POTHOLE,Resolved,24
SR-100736,2023-11-03,3,Rodent Inspection,Resolved,8
SR-103289,2023-05-24,8,Illegal Dumping,Resolved,21
SR-100747,2023-07-10,3,Illegal Dumping,Resolved,12
SR-102003,N/A,6,Pothole,In Progress,768
SR-102698,2023-07-10,7,Streetlight Out,closed,24
SR-102458,2023-08-05,7,Streetlight Out,Closed,23
SR-102451,2023-08-15,7,Streetlight Out,closed,25
SR-102225,2023-06-26,6,Trash Collection,Open,23
SR-103046,2023-03-04,7,Rodent Inspection,Resolved,4
SR-101014,2023-11-26,4,Streetlight Out,closed,26
SR-101599,2023-01-24,5,Trash Collection,Open,14
SR-102931,2023-05-18,7,Noise Complaint,closed,3
SR-102837,2023-04-05,7,Noise Complaint,Closed,3
SR-100320,2023-08-01,2,Noise Complaint,Open,2
SR-100166,2023-12-15,1,Pothole,Closed,21
SR-101779,2023-02-10,6,Streetlight Out,Closed,6
SR-100752,2023-02-11,3,Illegal Dumping,Resolved,30
SR-103245,2023-09-10,8,Streetlight Out,Closed,14
SR-101269,2023-05-28,5,Trash Collection,Closed,9
SR-102703,2023-02-16,7,Streetlight Out,In Progress,24
SR-100668,2023-08-23,3,Illegal Dumping,In Progress,18
SR-100455,2023-02-13,2,Noise Complaint,Resolved,28
SR-101250,2023-01-25,4,Noise Complaint,Open,25
SR-101927,2023-02-20,6,Noise Complaint,closed,19
SR-102223,2023-10-07,6,Pothole,Closed,22
SR-101701,2023-06-06,,Noise Complaint,closed,27
SR-100961,2023-01-09,4,Illegal Dumping,Resolved,30
SR-102454,,7,Illegal Dumping,In Progress,3
SR-103180,2023-02-08,8,Trash Collection,closed,17
SR-100996,2023-11-09,4,POTHOLE,closed,27
SR-101004,2023-04-18,4,Illegal Dumping,Resolved,6
SR-101836,,6,Noise Complaint,In Progress,5
SR-100420,2023-09-10,2,Noise Complaint,Resolved,4
SR-100865,N/A,3,Trash Collection,Closed,21
SR-102825,2023-03-24,7,Pothole,In Progress,10
SR-102235,2023-09-22,6,POTHOLE,In Progress,14
SR-100185,2023-05-17,2,Noise Complaint,closed,10
SR-101215,2023-08-10,4,Trash Collection,Open,3
SR-103021,2023-02-08,7,Streetlight Out,Resolved,12
SR-102664,2023-02-19,7,Illegal Dumping,In Progress,2
SR-103170,2023-10-19,8,Illegal Dumping,In Progress,29
SR-102867,2023-04-11,7,Trash Collection,Closed,23
SR-103291,2023-09-01,,pothole,In Progress,8
SR-100914,2023-10-02,4,Illegal Dumping,In Progress,18
SR-102582,2023-03-08,7,Trash Collection,closed,5
SR-102815,2023-12-02,7,Streetlight Out,In Progress,28
SR-101153,2023-09-17,4,POTHOLE,Resolved,1
SR-102325,2023-11-02,6,Pothole,Open,24
SR-102024,2023-11-17,6,Streetlight Out,In Progress,2
SR-103332,2023-06-28,8,Pothole,Resolved,29
